feature,bin_index,lo,hi,class_id,n_images,n_anns,AP,AP50,AR1,AR10,AR100,MR2,tag
luma,0,23.538259696960445,61.46542353820799,ALL,12962,3837,0.16157247220090581,0.28322781844114936,0.1425884955752212,0.2351548672566372,0.23566371681415926,"{'MR2': 0.35293293826212413, 'npos': 1762, 'nimg': 12962, 'ntp': 1416, 'nfp': 11376, 'iou': 0.5, 'min_h': 50, 'exclude_occluded': True}",luma_00_23.54-61.47
luma,0,23.538259696960445,61.46542353820799,1,12962,2260,0.32314494440181163,0.5664556368822987,0.2851769911504425,0.4703097345132744,0.47132743362831864,"{'MR2': 0.35293293826212413, 'npos': 1762, 'nimg': 12962, 'ntp': 1416, 'nfp': 11376, 'iou': 0.5, 'min_h': 50, 'exclude_occluded': True}",luma_00_23.54-61.47__cls1
luma,0,23.538259696960445,61.46542353820799,2,12962,0,-1.0,-1.0,-1.0,-1.0,-1.0,,luma_00_23.54-61.47__cls2
luma,0,23.538259696960445,61.46542353820799,3,12962,0,-1.0,-1.0,-1.0,-1.0,-1.0,,luma_00_23.54-61.47__cls3
luma,0,23.538259696960445,61.46542353820799,4,12962,1577,0.0,0.0,0.0,0.0,0.0,,luma_00_23.54-61.47__cls4
luma,1,61.46542353820799,71.71443908081054,ALL,12962,4612,0.12424755088188995,0.2319941736784312,0.13671507691371362,0.1962128935076001,0.19623628714453084,"{'MR2': 0.1681708469646123, 'npos': 2585, 'nimg': 12962, 'ntp': 2424, 'nfp': 14567, 'iou': 0.5, 'min_h': 50, 'exclude_occluded': True}",luma_01_61.47-71.71
luma,1,61.46542353820799,71.71443908081054,1,12962,3206,0.42781804513636856,0.7473434418599875,0.3175920149719276,0.5555832813474735,0.5556768558951966,"{'MR2': 0.1681708469646123, 'npos': 2585, 'nimg': 12962, 'ntp': 2424, 'nfp': 14567, 'iou': 0.5, 'min_h': 50, 'exclude_occluded': True}",luma_01_61.47-71.71__cls1
luma,1,61.46542353820799,71.71443908081054,2,12962,41,0.0691721583911912,0.18063325285373732,0.22926829268292687,0.22926829268292687,0.22926829268292687,,luma_01_61.47-71.71__cls2
luma,1,61.46542353820799,71.71443908081054,3,12962,30,0.0,0.0,0.0,0.0,0.0,,luma_01_61.47-71.71__cls3
luma,1,61.46542353820799,71.71443908081054,4,12962,1335,0.0,0.0,0.0,0.0,0.0,,luma_01_61.47-71.71__cls4
luma,2,71.71443908081054,82.67803786773682,ALL,12961,4083,0.11744017266056551,0.23491182022993073,0.15678664136141152,0.20693265300908809,0.20696663579114513,"{'MR2': 0.2093881668004843, 'npos': 1545, 'nimg': 12961, 'ntp': 1377, 'nfp': 12030, 'iou': 0.5, 'min_h': 50, 'exclude_occluded': True}",luma_02_71.71-82.68
luma,2,71.71443908081054,82.67803786773682,1,12961,2207,0.37957644978750255,0.6808742618963683,0.35663797009515175,0.5131853194381513,0.5133212505663797,"{'MR2': 0.2093881668004843, 'npos': 1545, 'nimg': 12961, 'ntp': 1377, 'nfp': 12030, 'iou': 0.5, 'min_h': 50, 'exclude_occluded': True}",luma_02_71.71-82.68__cls1
luma,2,71.71443908081054,82.67803786773682,2,12961,109,0.07406157595669076,0.2178993827875504,0.22293577981651377,0.2669724770642202,0.2669724770642202,,luma_02_71.71-82.68__cls2
luma,2,71.71443908081054,82.67803786773682,3,12961,103,0.016122664898068757,0.040873636235804034,0.04757281553398057,0.04757281553398057,0.04757281553398057,,luma_02_71.71-82.68__cls3
luma,2,71.71443908081054,82.67803786773682,4,12961,1664,0.0,0.0,0.0,0.0,0.0,,luma_02_71.71-82.68__cls4
