feat1,bin1,lo1,hi1,feat2,bin2,lo2,hi2,class_id,n_images,n_anns,AP,AP50,AR1,AR10,AR100,MR2,AP_R50,AP50_R50,tag,med_luma,med_rms_contrast,med_wavelet_mad_db1,med_laplacian_score,med_median_h_r50_px
luma,0,23.538259696960445,61.46542353820799,wavelet_mad_db1,0,1.186063750926614,2.520385470719054,ALL,4321,1090,0.38872827880897304,0.6427382354199911,0.3326605504587156,0.5288073394495413,0.5299999999999999,0.26437764001575703,0.439560160399326,0.7109635040309273,luma_00_23.54-61.47__wavelet_mad_db1_00_1.186-2.52,53.899277491760266,0.8701506567295164,2.0756115641215747,81320.48333349229,108.0
luma,0,23.538259696960445,61.46542353820799,wavelet_mad_db1,1,2.520385470719054,3.039288361749443,ALL,2717,382,0.36222031988795045,0.6333832436458622,0.33560209424083765,0.5112565445026178,0.5112565445026178,0.22579637785435835,0.44082299868591285,0.7218521272786546,luma_00_23.54-61.47__wavelet_mad_db1_01_2.52-3.039,55.426301643371595,0.892085474890861,2.8169014084507036,90014.65429344178,111.0
luma,0,23.538259696960445,61.46542353820799,wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,ALL,2839,582,0.27335966417797375,0.5108142224457414,0.19965635738831616,0.4104810996563574,0.4121993127147766,0.4757811503294723,0.2746275291651851,0.4910442416090747,luma_00_23.54-61.47__wavelet_mad_db1_02_3.039-3.484,53.963449929809556,0.9230172377125495,3.261675315048183,96326.46567220689,93.25
luma,0,23.538259696960445,61.46542353820799,wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,ALL,3085,206,0.15926587340142248,0.33339062850496975,0.18203883495145629,0.25388349514563113,0.25388349514563113,0.5570588915009167,0.17554012872859584,0.36122376482406293,luma_00_23.54-61.47__wavelet_mad_db1_03_3.484-9.59,55.87207776794435,0.9828422371173854,4.225352112676058,92643.0818588257,69.0
luma,1,61.46542353820799,71.71443908081054,wavelet_mad_db1,0,1.186063750926614,2.520385470719054,ALL,3619,1669,0.48025865235646886,0.8111583291398211,0.35008987417615345,0.5925704014379869,0.5925704014379869,0.1723023603701941,0.5191774365631502,0.8613194661221872,luma_01_61.47-71.71__wavelet_mad_db1_00_1.186-2.52,66.67976969299318,0.7260874679814613,2.075611564121576,102739.44677190781,99.0
luma,1,61.46542353820799,71.71443908081054,wavelet_mad_db1,1,2.520385470719054,3.039288361749443,ALL,2847,856,0.4073463717934854,0.7451209642422921,0.2710280373831776,0.5616822429906542,0.5620327102803737,0.19175396083971483,0.4360169608386068,0.7737034717712912,luma_01_61.47-71.71__wavelet_mad_db1_01_2.52-3.039,67.18050940246584,0.7645604706368669,2.8169014084506996,104908.71858978273,96.0
luma,1,61.46542353820799,71.71443908081054,wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,ALL,3562,494,0.40452707883641026,0.7274830060546098,0.30465587044534415,0.5133603238866395,0.5133603238866395,0.1395895113718514,0.47033322828426094,0.8297940299327026,luma_01_61.47-71.71__wavelet_mad_db1_02_3.039-3.484,66.73807672576902,0.7962506592317915,3.261675315048185,112364.18575544358,82.5
luma,1,61.46542353820799,71.71443908081054,wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,ALL,2934,187,0.1774685677833015,0.2837585848550006,0.2748663101604278,0.3090909090909091,0.3090909090909091,0.4055954403144551,0.2650685908601039,0.41912442740843725,luma_01_61.47-71.71__wavelet_mad_db1_03_3.484-9.59,66.87344886322023,0.8531104149145119,4.002965159377321,106576.91389670373,134.0
luma,2,71.71443908081054,82.67803786773682,wavelet_mad_db1,0,1.186063750926614,2.520385470719054,ALL,2937,1057,0.4581932750711374,0.7676237144953197,0.3677388836329234,0.5670766319772942,0.5672658467360454,0.18099609310773698,0.5356321555994369,0.8486049684023382,luma_02_71.71-82.68__wavelet_mad_db1_00_1.186-2.52,75.82274911956785,0.6570366526020106,2.0756115641215778,113287.51919469834,83.0
luma,2,71.71443908081054,82.67803786773682,wavelet_mad_db1,1,2.520385470719054,3.039288361749443,ALL,3689,618,0.3395078760102418,0.6262650224063724,0.34530744336569585,0.48802588996763757,0.48818770226537217,0.2685357106738947,0.37717692751523696,0.6861847142949454,luma_02_71.71-82.68__wavelet_mad_db1_01_2.52-3.039,76.54246676940917,0.6957336833415111,2.816901408450702,112602.44623413087,83.0
luma,2,71.71443908081054,82.67803786773682,wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,ALL,3022,355,0.36465842771135243,0.6994272123212452,0.38478873239436623,0.4816901408450705,0.4816901408450705,0.22957336964074324,0.3952204119218167,0.7425809301553588,luma_02_71.71-82.68__wavelet_mad_db1_02_3.039-3.484,76.3025886558533,0.7195305140874921,3.2616753150481834,118640.19173269274,89.0
luma,2,71.71443908081054,82.67803786773682,wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,ALL,3313,177,0.21584779671412327,0.4543438827591759,0.2734463276836158,0.3423728813559322,0.3423728813559322,0.2598758426426637,0.2835151200201978,0.5885246178931782,luma_02_71.71-82.68__wavelet_mad_db1_03_3.484-9.59,77.22386561889648,0.7746765143319031,4.002965159377316,115296.37129974367,119.0
luma,3,82.67803786773682,140.77163901467188,wavelet_mad_db1,0,1.186063750926614,2.520385470719054,ALL,2040,919,0.4028420754367526,0.675530271540761,0.33405875952121866,0.4903155603917302,0.4908596300326442,0.2782390771673241,0.48281676266230844,0.7803645824750985,luma_03_82.68-140.8__wavelet_mad_db1_00_1.186-2.52,90.11405404968261,0.5404154076064251,2.297998517420303,79620.59011497498,83.0
luma,3,82.67803786773682,140.77163901467188,wavelet_mad_db1,1,2.520385470719054,3.039288361749443,ALL,3583,701,0.3445177941714381,0.6180224853751322,0.29258202567760344,0.4670470756062767,0.4670470756062767,0.2773334883965086,0.4077110238900318,0.7058801995211772,luma_03_82.68-140.8__wavelet_mad_db1_01_2.52-3.039,91.30775245819093,0.5579497144642686,2.816901408450703,94283.53129730225,79.0
luma,3,82.67803786773682,140.77163901467188,wavelet_mad_db1,2,3.039288361749443,3.4840622683469284,ALL,3642,479,0.38248211669001025,0.6625840999680865,0.3062630480167015,0.5348643006263047,0.5348643006263047,0.1950476369714957,0.43895564328621584,0.7291158929044811,luma_03_82.68-140.8__wavelet_mad_db1_02_3.039-3.484,90.91735640640258,0.5926700551047732,3.261675315048184,106662.244091177,92.5
luma,3,82.67803786773682,140.77163901467188,wavelet_mad_db1,3,3.4840622683469284,9.590437362008162,ALL,3698,407,0.3970210215243149,0.6789540997461674,0.4267813267813267,0.5196560196560196,0.5196560196560196,0.22925652301409394,0.4155072596489052,0.6927597394067818,luma_03_82.68-140.8__wavelet_mad_db1_03_3.484-9.59,89.49967334747313,0.6639379767861779,4.0214974054855475,115570.45960021019,100.0

