feat1,bin1,lo1,hi1,feat2,bin2,lo2,hi2,class_id,n_images,n_anns,AP,AP50,AR1,AR10,AR100,MR2,AP_R50,AP50_R50,tag,med_luma,med_rms_contrast,med_wavelet_mad_db1,med_laplacian_score,med_median_h_r50_px
median_h_all_px,0,15.0,59.0,luma,0,32.818787405395526,63.8347462600708,ALL,393,470,0.1484736217642866,0.3104322860244072,0.17765957446808509,0.27531914893617015,0.27531914893617015,0.7295861486956237,0.19029752065082356,0.3533956589046754,median_h_all_px_00_15-59__luma_00_32.82-63.83,59.0695348678589,0.7883147552726529,2.520385470719055,106940.54964361191,54.0
median_h_all_px,0,15.0,59.0,luma,1,63.8347462600708,71.51862061309812,ALL,320,395,0.32379416843004616,0.6213923901397344,0.34658227848101264,0.4463291139240507,0.4470886075949368,0.6840304434574875,0.31660125243718346,0.6276461382697213,median_h_all_px_00_15-59__luma_01_63.83-71.52,66.77105932998657,0.7350128759949256,2.8169014084507005,118977.95444059372,54.0
median_h_all_px,0,15.0,59.0,luma,2,71.51862061309812,82.768497467041,ALL,483,636,0.33298913411757636,0.6327119157772204,0.3160377358490566,0.4385220125786164,0.4385220125786164,0.6918114269521568,0.3329296959454679,0.5736902942390705,median_h_all_px_00_15-59__luma_02_71.52-82.77,78.15443944091797,0.6525177529576531,2.594514455151963,106239.76468772888,56.0
median_h_all_px,0,15.0,59.0,luma,3,82.768497467041,140.77163901467188,ALL,358,516,0.3073074887980145,0.5995564391163848,0.286046511627907,0.39844961240310084,0.3994186046511628,0.639054409886072,0.35278043438657813,0.6437269165444313,median_h_all_px_00_15-59__luma_03_82.77-140.8,92.25844223251342,0.5342194872652855,2.5203854707190465,92461.16843104362,55.0
median_h_all_px,1,59.0,81.0,luma,0,32.818787405395526,63.8347462600708,ALL,365,551,0.41618791210219336,0.6964111504806956,0.3186932849364791,0.5217785843920144,0.5217785843920144,0.4614315456217174,0.44602040452156344,0.7255521118810876,median_h_all_px_01_59-81__luma_00_32.82-63.83,58.376692446899405,0.7782208121675203,2.372127501853225,97794.06122436524,69.0
median_h_all_px,1,59.0,81.0,luma,1,63.8347462600708,71.51862061309812,ALL,382,623,0.4859005653984717,0.8405928442970949,0.33515248796147673,0.576083467094703,0.576083467094703,0.2675451092552379,0.5133072978344989,0.8722867620540699,median_h_all_px_01_59-81__luma_01_63.83-71.52,67.07281269989012,0.6868581262299931,2.5203854707190487,102893.47959647179,70.5
median_h_all_px,1,59.0,81.0,luma,2,71.51862061309812,82.768497467041,ALL,379,602,0.45090449244485226,0.8121495675690704,0.34784053156146183,0.53156146179402,0.5317275747508305,0.3558760305784209,0.4763325749364842,0.8363545265732213,median_h_all_px_01_59-81__luma_02_71.52-82.77,78.17222429199225,0.6143566460234853,2.492587101556708,110377.27679815293,72.0
median_h_all_px,1,59.0,81.0,luma,3,82.768497467041,140.77163901467188,ALL,429,753,0.4525205089255779,0.7592711091840719,0.30876494023904383,0.5217795484727755,0.5217795484727755,0.3782037591897945,0.49421445000291386,0.8033048810221568,median_h_all_px_01_59-81__luma_03_82.77-140.8,87.15422273101807,0.5625914477205827,2.8169014084506876,96707.65964193345,70.0
median_h_all_px,2,81.0,120.0,luma,0,32.818787405395526,63.8347462600708,ALL,309,787,0.3484650543620351,0.6703039818159229,0.23151207115628974,0.4630241423125794,0.4642947903430749,0.675366874422749,0.3373065828751592,0.6453256852967585,median_h_all_px_02_81-120__luma_00_32.82-63.83,54.455997875976564,0.8261245799265886,2.8169014084507014,111453.80407714844,98.5
median_h_all_px,2,81.0,120.0,luma,1,63.8347462600708,71.51862061309812,ALL,393,848,0.4923552597824236,0.8957932866721892,0.27004716981132076,0.5745283018867924,0.5745283018867924,0.18413984809931527,0.523086911016421,0.927911500269889,median_h_all_px_02_81-120__luma_01_63.83-71.52,66.54019110107419,0.6765625688965685,2.3813936249073415,82108.41644248963,100.0
median_h_all_px,2,81.0,120.0,luma,2,71.51862061309812,82.768497467041,ALL,427,657,0.48863516458797013,0.8470122195336783,0.37853881278538815,0.5640791476407915,0.5640791476407915,0.18952700880339707,0.5184825935883207,0.8860486570029005,median_h_all_px_02_81-120__luma_02_71.52-82.77,77.53078491973876,0.6175039750461345,2.8169014084506987,113083.05699453354,92.0
median_h_all_px,2,81.0,120.0,luma,3,82.768497467041,140.77163901467188,ALL,425,708,0.41280048356240207,0.7235354745515996,0.31214689265536727,0.4813559322033898,0.4813559322033898,0.35954321959515056,0.4666949162465211,0.7913517404625159,median_h_all_px_02_81-120__luma_03_82.77-140.8,90.08883451538085,0.5700930423877183,2.8169014084507045,111460.0598903656,96.0
median_h_all_px,3,120.0,875.500000001,luma,0,32.818787405395526,63.8347462600708,ALL,492,874,0.48400616521373235,0.81930374114623,0.3733409610983981,0.5552631578947368,0.5567505720823798,0.24890567563734362,0.5081322918863899,0.8326984784819872,median_h_all_px_03_120-875.5__luma_00_32.82-63.83,53.32686417312621,0.868046406100087,2.372127501853222,87600.31437034608,174.0
median_h_all_px,3,120.0,875.500000001,luma,1,63.8347462600708,71.51862061309812,ALL,464,851,0.5402179973175543,0.8998272087999137,0.35041128084606343,0.6105757931844888,0.6105757931844888,0.11244925763188207,0.5680497020621215,0.9385076109916458,median_h_all_px_03_120-875.5__luma_01_63.83-71.52,67.04467838973999,0.7146852737524636,2.409191994069681,97838.67582144737,161.0
median_h_all_px,3,120.0,875.500000001,luma,2,71.51862061309812,82.768497467041,ALL,269,396,0.4392228966737773,0.7926231750607317,0.40101010101010104,0.5270202020202019,0.5275252525252525,0.18774516478703523,0.4924776242373808,0.8793734045625308,median_h_all_px_03_120-875.5__luma_02_71.52-82.77,74.77664839935301,0.6574870930026684,2.7427724240177938,124551.42302207947,168.0
median_h_all_px,3,120.0,875.500000001,luma,3,82.768497467041,140.77163901467188,ALL,348,512,0.5012991315007806,0.867263839285214,0.43515625,0.5787109375,0.5787109375,0.21685952920478987,0.5410800681985256,0.9154341164496874,median_h_all_px_03_120-875.5__luma_03_82.77-140.8,91.52582652130127,0.5793309755487058,3.0392883617494464,138011.31339254382,158.0
