epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,814.617,1.55208,1.54989,1.08359,0.68284,0.54434,0.62788,0.3191,0.95626,4.22499,0.66641,0.00333185,0.00333185,0.00333185
2,1603.85,1.57059,1.24593,1.10358,0.7941,0.49031,0.58121,0.29635,1.00035,3.48947,0.69192,0.00655521,0.00655521,0.00655521
3,2378.6,1.65652,1.3877,1.15928,0.69487,0.45958,0.51916,0.25441,1.04064,5.39397,0.72207,0.00966857,0.00966857,0.00966857
4,3146.81,1.6568,1.36765,1.18484,0.7404,0.53423,0.63334,0.34759,0.97077,4.35573,0.70029,0.009505,0.009505,0.009505
5,3913.72,1.56201,1.19192,1.14091,0.85382,0.58468,0.70131,0.38128,0.93823,3.27076,0.68848,0.00934,0.00934,0.00934
6,4682.14,1.50579,1.07745,1.1116,0.86574,0.66577,0.7988,0.46502,0.89038,4.03944,0.66692,0.009175,0.009175,0.009175
7,5448.56,1.4607,1.00792,1.09499,0.86097,0.74119,0.83527,0.49465,0.85405,2.13498,0.65278,0.00901,0.00901,0.00901
8,6216.13,1.41901,0.94717,1.07883,0.84808,0.79002,0.85427,0.49855,0.83459,2.53156,0.64952,0.008845,0.008845,0.008845
9,6984.94,1.38473,0.90673,1.05913,0.86896,0.79869,0.8664,0.51833,0.81615,2.16066,0.64187,0.00868,0.00868,0.00868
10,7750.6,1.36082,0.87351,1.05418,0.88984,0.82386,0.89356,0.55475,0.79199,2.05003,0.63342,0.008515,0.008515,0.008515
11,8514.36,1.33816,0.83987,1.03836,0.87786,0.82737,0.89643,0.57897,0.78004,1.47625,0.62472,0.00835,0.00835,0.00835
12,9279.31,1.32108,0.81394,1.03753,0.911,0.85595,0.91733,0.6036,0.76901,1.40811,0.62493,0.008185,0.008185,0.008185
13,10043.9,1.30052,0.79652,1.0259,0.89908,0.85804,0.91588,0.59831,0.75561,1.36347,0.61641,0.00802,0.00802,0.00802
14,10807.8,1.28304,0.77432,1.02072,0.90537,0.86712,0.92674,0.6038,0.7497,1.29744,0.61522,0.007855,0.007855,0.007855
15,11570.7,1.26539,0.75363,1.01291,0.90966,0.87213,0.93558,0.62441,0.74221,1.24646,0.61091,0.00769,0.00769,0.00769
16,12333.3,1.25007,0.73864,1.00542,0.91702,0.8877,0.94259,0.62426,0.71975,1.00794,0.605,0.007525,0.007525,0.007525
17,13094.5,1.24017,0.71988,1.00098,0.9101,0.89591,0.9427,0.62399,0.7113,1.1017,0.60268,0.00736,0.00736,0.00736
18,13855.7,1.22148,0.70675,0.9975,0.92135,0.89702,0.94496,0.63968,0.70039,1.08875,0.59808,0.007195,0.007195,0.007195
19,14615.8,1.21186,0.69363,0.99081,0.93462,0.88557,0.94381,0.64587,0.6933,0.95666,0.59591,0.00703,0.00703,0.00703
20,15376.7,1.19622,0.67944,0.98636,0.93065,0.90769,0.94683,0.65431,0.69214,0.88586,0.59542,0.006865,0.006865,0.006865
21,16136.5,1.19427,0.67474,0.98437,0.94036,0.88462,0.94815,0.65561,0.68933,0.84964,0.59457,0.0067,0.0067,0.0067
22,16896.8,1.17441,0.6606,0.98067,0.92787,0.89856,0.9525,0.66546,0.68149,0.83332,0.59309,0.006535,0.006535,0.006535
23,17655.5,1.16513,0.65204,0.97343,0.9407,0.8977,0.95518,0.67161,0.6745,0.81603,0.5906,0.00637,0.00637,0.00637
24,18416.1,1.15864,0.64109,0.97214,0.9167,0.92072,0.95682,0.67522,0.67074,0.78288,0.58895,0.006205,0.006205,0.006205
25,19175.3,1.14962,0.63544,0.96791,0.911,0.92864,0.95805,0.67786,0.66655,0.74533,0.58814,0.00604,0.00604,0.00604
26,19935.4,1.13913,0.62661,0.96492,0.91135,0.93076,0.95957,0.67881,0.66394,0.73069,0.58704,0.005875,0.005875,0.005875
27,20694.3,1.12645,0.61385,0.95944,0.9104,0.92399,0.96084,0.68362,0.66098,0.71476,0.58552,0.00571,0.00571,0.00571
28,21453.6,1.11764,0.60745,0.95869,0.92323,0.91989,0.96232,0.68228,0.65902,0.69157,0.58504,0.005545,0.005545,0.005545
29,22210.8,1.1124,0.60244,0.95201,0.9324,0.91076,0.96231,0.68475,0.65767,0.67157,0.58445,0.00538,0.00538,0.00538
30,22969.2,1.09987,0.59543,0.95176,0.93405,0.90826,0.96281,0.68689,0.65609,0.6593,0.58365,0.005215,0.005215,0.005215
31,23727.6,1.09341,0.58768,0.94869,0.90395,0.94238,0.963,0.68691,0.65471,0.64617,0.58336,0.00505,0.00505,0.00505
32,24510.6,1.08588,0.57752,0.94535,0.9076,0.9391,0.96339,0.68882,0.6526,0.63475,0.5827,0.004885,0.004885,0.004885
33,754.607,1.07999,0.57116,0.94662,0.907,0.94178,0.96323,0.6877,0.65179,0.61919,0.58219,0.00472,0.00472,0.00472
34,1512.06,1.07895,0.57413,0.9431,0.90812,0.94232,0.9634,0.69098,0.65045,0.60961,0.58173,0.004555,0.004555,0.004555
35,2269.24,1.07626,0.57044,0.94353,0.90816,0.94315,0.96321,0.69338,0.64937,0.60333,0.58137,0.00439,0.00439,0.00439
36,3025.08,1.06426,0.56191,0.93964,0.90772,0.94409,0.96335,0.69406,0.64826,0.59452,0.58093,0.004225,0.004225,0.004225
37,3782.58,1.05627,0.55623,0.93881,0.90813,0.94489,0.96401,0.69498,0.64697,0.58431,0.5806,0.00406,0.00406,0.00406
38,4583.65,1.05104,0.5493,0.93403,0.90925,0.9508,0.96487,0.69606,0.64554,0.57807,0.58006,0.003895,0.003895,0.003895
39,5353.36,1.03895,0.54396,0.93101,0.91827,0.93849,0.96549,0.69834,0.64428,0.56673,0.57988,0.00373,0.00373,0.00373
40,6135.32,1.02776,0.53282,0.92692,0.91845,0.94322,0.96655,0.69799,0.64283,0.55931,0.57915,0.003565,0.003565,0.003565
