epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,821.564,1.60006,1.66816,1.10747,0.55936,0.43208,0.48932,0.24161,1.05069,6.46781,0.70179,0.00333185,0.00333185,0.00333185
2,1610.54,1.61615,1.32087,1.11908,0.75041,0.50406,0.58378,0.28192,1.01672,4.5751,0.70362,0.00655521,0.00655521,0.00655521
3,2384.57,1.70208,1.47206,1.17792,0.5655,0.51281,0.54052,0.26488,1.03382,8.43587,0.74123,0.00966857,0.00966857,0.00966857
4,3152.88,1.70133,1.43489,1.19802,0.64404,0.51673,0.59205,0.32102,1.00001,5.36143,0.7105,0.009505,0.009505,0.009505
5,3919.78,1.60826,1.25769,1.16023,0.78469,0.6223,0.71357,0.39012,0.96216,4.6968,0.6964,0.00934,0.00934,0.00934
6,4687.43,1.53488,1.12997,1.12792,0.89067,0.67014,0.79428,0.45538,0.89948,3.07682,0.67281,0.009175,0.009175,0.009175
7,5454.59,1.48792,1.0557,1.10336,0.85574,0.69895,0.80254,0.47586,0.87991,2.83647,0.66039,0.00901,0.00901,0.00901
8,6222.38,1.44866,0.99857,1.08398,0.85902,0.76563,0.84097,0.49824,0.85399,3.24787,0.65095,0.008845,0.008845,0.008845
9,6989.33,1.4158,0.93958,1.06712,0.90921,0.77526,0.88321,0.53861,0.83483,2.41971,0.64193,0.00868,0.00868,0.00868
10,7755.32,1.3805,0.90549,1.05101,0.86999,0.83762,0.89777,0.55582,0.81135,1.75942,0.63311,0.008515,0.008515,0.008515
11,8521.06,1.3603,0.86922,1.04331,0.91218,0.82218,0.90471,0.57842,0.78476,1.82998,0.62589,0.00835,0.00835,0.00835
12,9285.73,1.33837,0.84417,1.0359,0.89163,0.82097,0.90161,0.58405,0.77837,1.46534,0.62433,0.008185,0.008185,0.008185
13,10050.3,1.31924,0.81794,1.02855,0.90134,0.85442,0.91302,0.60147,0.75844,1.42915,0.6151,0.00802,0.00802,0.00802
14,10813.9,1.30829,0.79604,1.02083,0.88165,0.87938,0.92448,0.6102,0.74445,1.35061,0.61061,0.007855,0.007855,0.007855
15,11577.9,1.28436,0.77557,1.01504,0.92392,0.86899,0.93019,0.62671,0.72781,1.17469,0.60662,0.00769,0.00769,0.00769
16,12341.2,1.26663,0.761,1.00702,0.92998,0.87204,0.92899,0.62344,0.71913,1.08634,0.60208,0.007525,0.007525,0.007525
17,13103.2,1.25597,0.74837,1.00022,0.9078,0.88375,0.93618,0.6331,0.71633,0.97946,0.59932,0.00736,0.00736,0.00736
18,13865.1,1.24278,0.73186,0.99427,0.90806,0.90923,0.94594,0.64177,0.70711,0.8928,0.59652,0.007195,0.007195,0.007195
19,14625.9,1.23228,0.71832,0.9894,0.92819,0.90787,0.94614,0.64901,0.70069,0.8415,0.59447,0.00703,0.00703,0.00703
20,15387.3,1.21452,0.70514,0.98223,0.94008,0.88923,0.94367,0.65239,0.69265,0.82356,0.59278,0.006865,0.006865,0.006865
21,16148.1,1.2075,0.69534,0.98045,0.9095,0.90875,0.94532,0.6568,0.68688,0.79719,0.59151,0.0067,0.0067,0.0067
22,16909.6,1.19465,0.68277,0.97529,0.93208,0.89329,0.94454,0.6615,0.68346,0.76267,0.59041,0.006535,0.006535,0.006535
23,17668.5,1.18462,0.67173,0.9716,0.92377,0.90072,0.94767,0.66587,0.68203,0.73038,0.58941,0.00637,0.00637,0.00637
24,18430.2,1.17406,0.65982,0.9686,0.94917,0.89339,0.9499,0.66834,0.67846,0.69706,0.58759,0.006205,0.006205,0.006205
25,19191.9,1.16445,0.65271,0.96187,0.93969,0.90561,0.95123,0.67112,0.67363,0.67739,0.5857,0.00604,0.00604,0.00604
26,19953.9,1.14522,0.63855,0.95951,0.94324,0.90419,0.95404,0.67846,0.6713,0.65683,0.58479,0.005875,0.005875,0.005875
27,20715.3,1.14022,0.63439,0.95507,0.93478,0.90725,0.95516,0.67969,0.67039,0.64242,0.58426,0.00571,0.00571,0.00571
